GO Term	Study #	Study Freq.	Pop. Freq.	p-value	q-value	name	gene products
GO:0008152	389	52%	37%	1.14E-17	8.26E-15	metabolic process	AAF53386.1,AAF58799.1,AAZ52499.1,AHN56230.1,AHN54630.1,AAF45636.1,AAF46994.2,AGB92841.1,ABV53667.1,AAF50032.1,AAF47771.1,AAF56562.1,ADV37141.1,AAF50899.2,AAF58765.2,AAN11508.1,AAF50439.1,AAG22140.2,ABV53862.1,AAF47892.1,AAF58873.1,AAF59248.2,AAO41498.1,AAF53046.1,AAF46270.1,AAF57482.1,ABI31021.1,AGB92972.1,AGB95472.1,AAF46437.1,AAF58861.1,AGB96459.1,ACL83281.1,AFH03711.1,AAF55160.1,AHN57306.1,AHN59355.1,AAF53976.2,AHN57919.1,AAS65248.1,AAS64882.1,AHN59823.1,AHN54061.1,AHN59222.1,AAF55172.2,ACZ94750.1,AAF48758.1,AAF57481.1,AAZ52498.1,AHN59254.1,AAN13404.1,AHN54282.1,AHN57285.1,AFH04383.1,AAF53263.1,AAF55315.1,ADV37218.1,AHN55937.1,AAN10808.2,API61815.1,AAF54568.1,AAF51500.1,AHN54173.1,AAF46411.1,AAF52003.2,AAF54319.2,AAF49855.1,AAF46633.2,AHN59265.1,AAF51151.1,AGB93098.1,AHN54293.1,AAF45811.2,ACZ94401.1,AAF58491.1,AAF55918.1,AAF52090.1,AAF54482.2,ABI31309.1,AGB95978.1,AAF45736.1,AAZ52497.1,AGB92558.1,AAN10907.1,AAF58980.1,AAF50402.1,AAF48246.1,AAF56058.1,AAF50327.1,ACZ95341.1,AGB95822.1,AAF50950.1,AAF55632.1,AAS65359.1,AGB93305.1,AAM68899.3,AGB93173.1,AAF48768.2,AAN10809.2,AAF56561.1,AAF52038.1,AAF55533.1,AFH06346.1,AAF53043.1,AHN54294.1,AAF56024.1,AGB93097.1,AAF59247.2,AAF56924.1,AGB92898.1,ADV37303.1,AAF45374.2,AAF55170.1,AAF49065.1,AAF45737.1,AAF58076.3,AHN54339.1,AAF53966.2,AAN10908.1,AAF46188.1,AFH06708.1,AAF50349.1,ABI31145.1,AAN11410.1,AAF55148.2,AAF49740.3,AAN09087.1,AGB93996.1,AAF47808.2,AGB94264.1,AAF48514.1,AAM68898.2,AHN56027.1,ACZ94389.1,AAF53770.1,ALI30535.1,AAF47873.1,AAF45813.1,AAF47090.3,AAN13479.1,AAF49446.1,AAF47459.2,AAF46189.2,AAF54458.1,AAF52773.4,AAN13443.3,AAF50676.1,AAF47567.1,AAN14036.1,AAF58460.1,AAN09088.2,AAF56288.3,AAN13980.1,AAF53477.1,AHN57194.1,AAF51503.1,AAF51526.1,AAM68897.2,AAF58263.1,AHN57601.1,AHN56090.1,AAF52895.2,AAF58199.1,AFH07281.1,AAF47510.1,AAF57137.1,AAF54636.2,AAN13478.1,AAF51152.2,AAN10459.1,AAF58736.4,AAF55311.2,AAN11895.1,AAF57017.2,AHN58149.1,AAF51580.2,AAF47589.1,AGB93643.1,AAM71104.1,AAF52335.1,AAF47566.1,AAM68896.2,AAO41631.1,AAF45793.1,AAN13709.1,AAF54425.1,AAF48418.1,AAF54327.1,AAF57138.2,AAF57348.2,AAF56394.2,AAF49083.1,AGB92418.1,AAF52798.2,AFH07986.1,AAF48956.2,AAO41239.1,AAF52008.3,AAM68895.1,AAF49096.1,AHN59965.1,AAF47180.1,AAX52944.1,AAF47641.1,AAF51021.3,AAF49303.1,AAF54040.1,AAF50467.2,AAF54328.2,AAM68444.1,AAF51517.1,AAF51748.1,AAF46376.1,AAN11644.1,AHN56106.1,AAN09022.2,AHN57934.1,AAO41174.2,AAM68894.5,AFH06678.1,AAF51989.1,AAN13836.2,AAF52721.3,AAZ52502.1,AHN59919.1,AAF47600.1,API61809.1,ABW08605.1,AAF46440.1,AAF49081.1,ALI51137.1,AAF45368.1,AAF50805.1,AAN09023.2,AAF54859.1,AAF47427.1,AGB94414.1,AAN09178.1,AFH06677.1,AAZ52501.1,AAF55626.1,AAN13243.3,AAF52830.2,AHN54167.1,AAF56907.1,AAF53139.1,AAF45578.3,AAO41658.2,ACZ94811.1,AAF48679.3,AHN59423.1,AGB96017.1,AAF56228.1,AGB96461.1,AAF53478.1,AAF52820.1,AAF55944.2,AGB94647.1,AAF51964.1,AAN09364.1,AAF58684.1,AAZ52500.1,AAF52185.1,AGB95650.1,AAF51342.1,AAF56239.2,AFH06709.1,AHN56444.1,AAF45677.2,AHN59908.1,AAF58080.1,AGB93268.1,AHN57933.1,AAF53479.1,AGB96460.1,AAF47271.1,AAF52821.2,AAF56327.1,AAF57683.1,AAF45533.3,AAF54811.2,AHN56028.1,AAF54128.2,AAF56875.1,AAF59209.1,AHN59667.1,AAN11424.1,AAF46023.1,AHN57180.1,AAN13245.2,AAF58760.2,AAF50409.1,AAF47714.3,AAN13636.2,AAM68370.1,AAF54397.2,AGB93306.1,AGB93513.1,AHN58150.1,AAN11068.1,AAM70829.2,AAF45921.1,ADV37302.1,AAM68900.3,AAF58708.1,AAF58530.1,AAS64733.2,AAF53163.2,AAF54860.1,AAN13405.1,AAN10572.1,AAF53076.2,AAF52944.2,AAF49701.1,AAG22407.2,AAF58006.1,AHN54080.1,AAF53919.1,AAF52013.3,AGB92521.1,AAF52978.1,AAF54069.1,AAF51258.2,AAF53877.1,AGB94542.1,AAF51322.1,ALI30453.1,AAF54530.3,AHN57265.1,AHN59301.1,AAF58191.1,AAF46709.1,AAF46332.1,AAN14182.1,AGB95891.1,AGB92892.1,AAF46016.1,AAF54564.1,AGB93308.1,AAF54146.1,AAF45720.2,AAF47253.2,AAF58797.1,AGB92828.1,AAF45743.1,AAF56322.2,AHN54060.1,AAN10662.2,AAF54486.2,AAF57199.2,AAF50757.1,AAF57639.2,AAF54828.2,AAF54134.2,AAF52451.1,AHN56229.1,AAF54440.2,AAF56929.1,ALI30641.1,AAM68811.2,AAN11538.2,AGB93418.1,AGB92345.1,AAF47822.1,ACZ94536.1,AGB94105.1,AAF50263.1,AGB95353.1,AHN56425.1,AAF47350.2,AAN14292.1,AHN54347.1,AAF52000.1,AAF52011.1,AAF48983.1,AAF51982.1,AAF57944.1,ALI30530.1,AAF54827.1,AAF50735.1,AGB94533.1,AAF48665.2,AAF55624.1,ACL83469.1,AAF46212.1,AAF56796.2,AAN13979.1,AAF53009.1,AAF56565.1
GO:0010637	11	1.5%	0.06%	3.79E-15	1.57E-12	negative regulation of mitochondrial fusion	AAF47244.2,AAF46188.1,AHN56646.1,AAZ52499.1,AAN09178.1,AAZ52498.1,AAZ52500.1,AAZ52497.1,AHN59423.1,AAZ52502.1,AAZ52501.1
GO:0036289	9	1.2%	0.04%	4.78E-14	1.54E-11	peptidyl-serine autophosphorylation	AAF46188.1,AAZ52499.1,AAN09178.1,AAZ52498.1,AAZ52500.1,AAZ52497.1,AHN59423.1,AAZ52502.1,AAZ52501.1
GO:0048078	9	1.2%	0.05%	2.48E-12	5.51E-10	positive regulation of compound eye pigmentation	AAF46188.1,AAZ52499.1,AAN09178.1,AAZ52498.1,AAZ52500.1,AAZ52497.1,AHN59423.1,AAZ52502.1,AAZ52501.1
GO:1904061	9	1.2%	0.05%	2.48E-12	5.51E-10	positive regulation of locomotor rhythm	AAF46188.1,AAZ52499.1,AAN09178.1,AAZ52498.1,AAZ52500.1,AAZ52497.1,AHN59423.1,AAZ52502.1,AAZ52501.1
GO:0061734	9	1.2%	0.05%	9.62E-12	1.65E-9	type 2 mitophagy	AAF46188.1,AAZ52499.1,AAN09178.1,AAZ52498.1,AAZ52500.1,AAZ52497.1,AHN59423.1,AAZ52502.1,AAZ52501.1
GO:0048312	9	1.2%	0.05%	9.62E-12	1.65E-9	intracellular distribution of mitochondria	AAF46188.1,AAZ52499.1,AAN09178.1,AAZ52498.1,AAZ52500.1,AAZ52497.1,AHN59423.1,AAZ52502.1,AAZ52501.1
GO:2000378	16	2.1%	0.25%	3.14E-11	4.62E-9	negative regulation of reactive oxygen species metabolic process	QJC18729.1,ACL83178.1,AAF46711.6,ACL83177.2,AAF46710.6,ACL83179.1,ACZ94505.1,AHN56469.1,AAM70867.3,ACL83176.2,QJC18724.1,QJC18727.1,QJC18728.1,QJC18725.1,QJC18726.1,ACL83180.1
GO:1904457	9	1.2%	0.06%	8.24E-11	1.04E-8	positive regulation of neuronal action potential	AAF46188.1,AAZ52499.1,AAN09178.1,AAZ52498.1,AAZ52500.1,AAZ52497.1,AHN59423.1,AAZ52502.1,AAZ52501.1
GO:1902956	9	1.2%	0.07%	2E-10	2.22E-8	regulation of mitochondrial electron transport, NADH to ubiquinone	AAF46188.1,AAZ52499.1,AAN09178.1,AAZ52498.1,AAZ52500.1,AAZ52497.1,AHN59423.1,AAZ52502.1,AAZ52501.1
GO:0007277	10	1.3%	0.09%	2.15E-10	2.3E-8	pole cell development	AAN10908.1,AAN10907.1,AAF53477.1,ABV53667.1,AAF53478.1,AFH03711.1,AAF53479.1,AAF54387.1,AAF53046.1,AFH06322.1
