GO Term	Study #	Study Freq.	Pop. Freq.	p-value	q-value	name	gene products
GO:0140640	74	9.6%	3.0%	8.53E-19	3.67E-16	catalytic activity, acting on a nucleic acid	AAF50409.1,AAF53139.1,AAF45578.3,AAF46332.1,AAN13404.1,AHN57285.1,AAN11895.1,AFH04383.1,AAF51580.2,ACZ94811.1,AAF53263.1,AAN10808.2,AAM68495.3,API61815.1,ABV53667.1,AAF50032.1,AAF51500.1,AAF52820.1,AAF54397.2,AAF45720.2,AAF54319.2,AAF45532.1,AAF50439.1,AAF51964.1,AAF53770.1,AGB93098.1,AAF47892.1,AAF52185.1,AAF55918.1,AAF45719.1,AAF45921.1,AAF56239.2,AAF57138.2,AAF47090.3,AAF54828.2,AAF53046.1,ABI31309.1,AAF53163.2,AAF51539.2,AAN13405.1,AAF56847.1,AGB92972.1,AAN11538.2,AAF53076.2,AAF50805.1,AAF52944.2,AHN59272.1,AAF58861.1,AAF50950.1,AAO41239.1,AAF55160.1,AAF47271.1,AAS65359.1,AAF51503.1,AAF57683.1,AHN59355.1,AHN54347.1,AAN10809.2,AAF52011.1,AGB94414.1,AAS64882.1,AAF53043.1,AAF57908.3,AAF49303.1,AAF57944.1,AGB93097.1,AAF50735.1,AAF54040.1,AAF46023.1,AAF55624.1,ADV37303.1,AAF54636.2,AAF58076.3,AHN54339.1
GO:0120553	12	1.6%	0.05%	2.26E-18	6.48E-16	farnesal dehydrogenase (NAD+) activity	AAF59248.2,AAF59247.2,AGB93308.1,AAM68900.3,AGB93305.1,AAM68895.1,AAM68896.2,AGB93306.1,AAM68897.2,AAM68894.5,AAM68898.2,AAM68899.3
GO:0043008	9	1.2%	0.05%	1.19E-11	2.56E-9	ATP-dependent protein binding	AAF46188.1,AAZ52499.1,AAN09178.1,AAZ52498.1,AAZ52500.1,AAZ52497.1,AHN59423.1,AAZ52502.1,AAZ52501.1
GO:0003824	359	47%	35%	2.27E-11	3.91E-9	catalytic activity	AAN09120.1,AAF58799.1,AAZ52499.1,AHN56230.1,AAF46376.1,AAN11644.1,AHN56106.1,AFH08244.1,AGB93000.1,AAF46994.2,AAM68495.3,AAN09022.2,AGB92841.1,ABV53667.1,AHN57934.1,AAF50032.1,AAO41174.2,AGB94148.1,AAM68894.5,AAF47771.1,ACZ94746.1,ADV37141.1,AAF50899.2,AAS64631.1,AAN11508.1,AAF50439.1,AAG22140.2,AFH06678.1,AAS65077.1,AAF48462.1,AGB94016.1,AAF52721.3,ABV53862.1,AAN13813.1,AAF47892.1,AAF58873.1,AAZ52502.1,AAF59248.2,AAF45719.1,AAO41498.1,AAF47600.1,AAF53046.1,AFH04414.1,AAF46270.1,AAF57482.1,ABI31021.1,AAF49081.1,AAF56344.1,AAF56847.1,AGB92972.1,AAF45368.1,AAF49794.2,AAF50805.1,AGB95411.1,AAF54561.1,AHN59272.1,AAF58861.1,AGB96459.1,ACL83281.1,AAN09023.2,AAF46283.1,AAF54859.1,AFH07395.1,AAF55160.1,AAF55062.1,ACZ94599.1,AHN57306.1,AAF51507.1,AHN59355.1,AGB93571.1,AGB94414.1,AAN09178.1,AFH06677.1,AAS64882.1,AAF53128.4,AGB92355.1,AAS64632.2,AHN54061.1,AHN59222.1,AAZ52501.1,AAF55917.1,AAF55626.1,ACZ94750.1,AAN13243.3,AAN10493.1,ACL82870.1,AAF52830.2,AAF48758.1,AFH04413.1,AAF57481.1,AAZ52498.1,AAF57061.2,AAN09662.1,AAF53139.1,AAF45578.3,AAN13404.1,AHN54282.1,AHN57285.1,AGB94756.1,AFH04383.1,ACZ94811.1,AAF53263.1,AAF55315.1,ADV37218.1,AHN59423.1,AHN55937.1,AAN10808.2,API61815.1,AGB96017.1,AAN14344.1,AAF50034.2,AAF56228.1,AGB96461.1,AAF51500.1,AAF52820.1,AHN54173.1,AAF45570.1,AAF52003.2,AAF54319.2,AAF45532.1,AAF46633.2,AAF51671.2,AAF51964.1,AAF51151.1,AAN09364.1,AGB93098.1,AHN54293.1,AAF45811.2,AAF54007.1,AAZ52500.1,ACZ94401.1,AAF58491.1,AAF52185.1,AAF55918.1,AAF56239.2,ABI31309.1,AGB95978.1,AAF45736.1,AAZ52497.1,AAN09661.1,AHN57319.1,AAF57914.1,AAF55799.1,AAF58980.1,AFH06709.1,AAF50402.1,AAF48246.1,AHN56444.1,AAF50327.1,ACZ95341.1,AAN11824.2,AGB95822.1,AAF50950.1,AAF58080.1,AHN57933.1,AGB96460.1,AAF47271.1,AAS65359.1,AGB93305.1,AAF56327.1,AAF57683.1,AAF45533.3,AAF54811.2,AHN56028.1,AAM68899.3,AGB93173.1,AAF54128.2,AAN10809.2,AGB94707.1,AAF48064.2,AHN59289.1,AAF57173.1,AAF56875.1,AFH06346.1,AAF53043.1,AHN54294.1,AGB92670.1,AGB93097.1,AHN59667.1,AAF59247.2,AAF46023.1,AAN13245.2,AAF47622.3,AAF56924.1,ADV37303.1,AAF55170.1,AAF49065.1,AAF45737.1,AAF58076.3,AHN54339.1,AAF51158.2,AAF58760.2,AAF50409.1,AAF46188.1,AAF47714.3,AFH06708.1,AAM68370.1,ABI31145.1,AAN11410.1,AAF48224.1,AGB93996.1,AAF54397.2,AGB94264.1,AGB93306.1,AGB95946.1,AAF48514.1,AAM68898.2,AHN56027.1,AAF45764.1,AAF49811.2,AHN58150.1,AAF53770.1,AAN11675.2,ALI30535.1,AAF48443.2,AAN10789.1,AAF45921.1,ADV37302.1,AAM68900.3,AAF47090.3,AAF58708.1,AAF59161.1,AAF58530.1,AAS64733.2,AAN13479.1,AHN56344.1,AAF53163.2,AAF54860.1,ABC67186.1,AAF46189.2,AAN13405.1,AAF54458.1,AAF52773.4,AAN13443.3,AAF53076.2,AAF54723.1,AAF52944.2,AAF56288.3,AAN13980.1,AHN57194.1,AAF51503.1,AAM68897.2,AAF58796.2,AAF52002.1,AAF53919.1,AGB92521.1,AAF57908.3,AAF55705.1,AAF52978.1,AAF57799.1,AAF54069.1,AHN56090.1,AAF51258.2,AAF51576.1,ACZ94962.1,AAF52895.2,AAF51322.1,ALI30453.1,AAF50737.2,AHN57265.1,AFH07281.1,AAF47510.1,AAF52932.1,AAF54636.2,AHN59301.1,AAN13478.1,AGB96526.1,AAF51152.2,AAF58191.1,AAF46709.1,AAF46332.1,AAN14182.1,AAF55311.2,AAF45634.2,AAN11895.1,AGB95891.1,AHN58149.1,AAF51580.2,AAF47589.1,AGB93643.1,AGB92892.1,AHN59653.1,AAF46016.1,AAF52335.1,ACZ94744.1,AAF54564.1,AAF45939.2,AAN14363.1,AGB93308.1,AFH07394.1,AAF45720.2,AAM68896.2,AAG22304.1,AAF58797.1,AAF45743.1,AAF45793.1,AHN54060.1,AAN13709.1,AAF54486.2,AAF54425.1,AAF57199.2,AAF48418.1,AAS64633.1,AAF53452.1,AAF47189.1,AAF50757.1,AAF57639.2,AAF57138.2,AHN56628.1,AAF54828.2,ADV37041.2,AAF57348.2,AAF56394.2,ACZ95295.1,AHN56229.1,AAF49083.1,AAF54440.2,AAF56929.1,AAF51539.2,AAM68811.2,AFH07986.1,AAN11538.2,AAF45635.1,AGB94799.1,AAF47822.1,ACZ94536.1,AAO41239.1,AAF50263.1,AGB95353.1,AAF52008.3,AHN56425.1,AAN14292.1,AAM68895.1,AHN59965.1,AHN54347.1,ACL82869.1,ACZ94745.1,AAF52011.1,AAF47180.1,AAX52944.1,AAF51982.1,AAN13812.1,AAM68308.1,AAF49303.1,AAF52386.1,AAF57944.1,AAF54827.1,AAF50735.1,AAF54040.1,AAF57298.1,AAF55624.1,AAF46212.1,AAF56796.2,AAF50467.2,AAN13979.1,AHN59599.1,AAF54328.2,AAM68444.1,AAF51517.1
GO:0004629	10	1.3%	0.08%	6.81E-11	8.38E-9	C-type glycerophospholipase activity	AAS64631.1,AHN56628.1,AAN10493.1,AGB92355.1,AAM68308.1,AAS64633.1,AAS64632.2,AAF51507.1,AFH08244.1,AAF47189.1
GO:0003899	13	1.7%	0.17%	1.86E-10	2E-8	DNA-directed RNA polymerase activity	AGB94414.1,AAF50439.1,AAF53770.1,AGB93098.1,AAF51580.2,AGB93097.1,AAF52185.1,AAF55918.1,AAO41239.1,AAF54828.2,AAF50032.1,ADV37303.1,AAF51503.1
GO:0031683	6	0.78%	0.03%	1.54E-9	1.2E-7	G-protein beta/gamma-subunit complex binding	AAS64631.1,AAN10493.1,AGB92355.1,AAS64633.1,AAS64632.2,AAF51507.1
GO:0031682	6	0.78%	0.03%	1.54E-9	1.2E-7	G-protein gamma-subunit binding	AAS64631.1,AAN10493.1,AGB92355.1,AAS64633.1,AAS64632.2,AAF51507.1
GO:0180033	7	0.91%	0.04%	1.76E-9	1.2E-7	histone H4K8 deacetylase activity, hydrolytic mechanism	AFH07395.1,AFH07394.1,AGB95411.1,ACZ95295.1,AAF48443.2,AAN09662.1,AAN09661.1
GO:0141051	7	0.91%	0.04%	5.7E-9	2.73E-7	histone H4K deacetylase activity	AFH07395.1,AFH07394.1,AGB95411.1,ACZ95295.1,AAF48443.2,AAN09662.1,AAN09661.1
