GO Term	Study #	Study Freq.	Pop. Freq.	p-value	q-value	name	gene products
GO:0005739	115	15%	7.7%	1.68E-12	8.14E-10	mitochondrion	AAF50409.1,AAF53386.1,AAF46188.1,AAZ52499.1,AAN13636.2,AAF46376.1,ABI31145.1,AAN11644.1,AAF55148.2,AGB93000.1,AGB92841.1,AGB93996.1,AGB95946.1,AGB93513.1,AHN58150.1,AAN11508.1,AAG22140.2,ALI30535.1,AAF58873.1,AAZ52502.1,AAF52894.2,AAM70829.2,AAF45921.1,AAF47600.1,AAN13479.1,AAF46270.1,ABW09319.1,AAF49081.1,ABC67186.1,AAF45368.1,AAN10572.1,AAF49794.2,AAF56288.3,AHN57194.1,AAF55062.1,AAF58796.2,AAN09178.1,AAF48500.1,AHN57601.1,AGB92521.1,AAF52978.1,AAZ52501.1,ACZ94962.1,AAF55917.1,AAF51322.1,AHN56646.1,AAF58199.1,AAF55626.1,AAF55172.2,ACZ94750.1,AFH07281.1,AAF57137.1,AAF52830.2,AAN13478.1,AAF51152.2,AAZ52498.1,AHN54167.1,AAF56907.1,AAF54184.1,AGB93399.1,AAF53139.1,AGB92783.1,AAF45578.3,AAF55311.2,AAN11895.1,AFH04383.1,AAF57017.2,AAM71104.1,AGB92892.1,ADV37218.1,AHN59423.1,API61815.1,AAF54564.1,AAN14363.1,AAF52820.1,AAF45570.1,AAF51671.2,AAN13709.1,AAF51151.1,AAZ52500.1,AAF53452.1,AAF51805.2,AAF51342.1,AAF56239.2,AAF57639.2,AAF57138.2,AAF45505.1,AAF54482.2,AAF45736.1,AAZ52497.1,AGB92418.1,AAF55799.1,AFH07986.1,AAF50327.1,AGB93268.1,AAF55632.1,ALI30538.1,AAF47271.1,AAS65359.1,AAF57683.1,AAF54128.2,AAF52658.1,AAF47244.2,AAX52944.1,AFH06346.1,AAF59209.1,AAF51982.1,AGB92670.1,AAF52386.1,AAF57944.1,AAF55624.1,AAF45374.2,AAF56928.1,AAF45737.1,AAM68444.1
GO:0000428	15	2.0%	0.2%	1.21E-11	2.94E-9	DNA-directed RNA polymerase complex	AGB94414.1,AAF50439.1,AAF55533.1,AAF53770.1,AGB93098.1,AAF51580.2,AGB93097.1,AAF52185.1,AAF55918.1,AAO41239.1,AAF54828.2,AAF50032.1,ADV37303.1,AAF51503.1,AAF52451.1
GO:0016006	11	1.5%	0.11%	8.96E-11	1.09E-8	Nebenkern	AAF46188.1,AAZ52499.1,AAN09178.1,AAF55062.1,AGB95946.1,AAZ52498.1,AAZ52500.1,AAZ52497.1,AHN59423.1,AAZ52502.1,AAZ52501.1
GO:0005759	44	5.8%	1.9%	1.11E-10	1.09E-8	mitochondrial matrix	AAF55799.1,AAN13405.1,AAF51748.1,AAN11538.2,AAF45368.1,AFH06709.1,AAN13404.1,AFH06708.1,AAM68370.1,AAF55311.2,AAF49794.2,AAN11644.1,ACZ94811.1,AGB93000.1,AHN55937.1,AAN10808.2,AGB92841.1,AAN14363.1,AAN14292.1,AAF47271.1,AAF57683.1,AAF54319.2,AAF45743.1,AAF56322.2,AAN10809.2,AHN58150.1,AAN13709.1,AAF51964.1,AAF51151.1,AGB92521.1,AAF57199.2,AAF53452.1,AAF52894.2,ACZ94962.1,ACZ94750.1,AAF57138.2,AAF55624.1,AAF52830.2,AAF57348.2,AAF54482.2,AAF56796.2,ABI31021.1,AAF51152.2,AAF49081.1
GO:1905354	13	1.7%	0.17%	2.1E-10	1.7E-8	exoribonuclease complex	AHN54080.1,AGB92972.1,AHN54630.1,AAN11895.1,AHN59823.1,AFH04383.1,AAF53263.1,AAF48665.2,AAF54530.3,AAF49096.1,AAF58076.3,AAF53966.2,AAN10459.1
GO:0005741	29	3.8%	0.97%	3.02E-10	2.09E-8	mitochondrial outer membrane	AAF53139.1,AAF46188.1,AAZ52499.1,AHN54282.1,AHN59423.1,AAF47822.1,AGB93308.1,AAO41174.2,AGB93305.1,AAM68895.1,AAM68896.2,AGB93306.1,AAM68897.2,AAM68894.5,AAM68898.2,AAM68899.3,AAN09178.1,AAF52721.3,AAZ52500.1,AAZ52502.1,AAF56255.1,AAZ52501.1,AAF59248.2,AAF59247.2,ALI30453.1,AAF51805.2,AAM68900.3,AAZ52498.1,AAZ52497.1
GO:0031680	6	0.79%	0.03%	1.36E-9	7.31E-8	G-protein beta/gamma-subunit complex	AAS64631.1,AAN10493.1,AGB92355.1,AAS64633.1,AAS64632.2,AAF51507.1
GO:0031966	64	8.5%	3.9%	7.8E-9	2.9E-7	mitochondrial membrane	AAF54184.1,AGB93399.1,AAF53139.1,ACZ95171.1,AAF46188.1,AAZ52499.1,AGB92783.1,AHN54282.1,AAM71104.1,AHN59423.1,AHN59252.1,AAF45630.1,AGB92841.1,AAF56228.1,AGB93308.1,AAO41174.2,AAF52820.1,AAM68896.2,AGB93306.1,AAM68894.5,AGB95946.1,AAM68898.2,AAF52721.3,AAZ52500.1,AAF58873.1,AAZ52502.1,AAF59248.2,AAF51805.2,AAF45509.2,AAM68900.3,AAZ52497.1,AHN59253.1,AAM68855.1,AAF58798.1,AFH07986.1,AAF50323.1,AGB95807.1,AHN59251.1,AAF47822.1,AAN13980.1,ALI30538.1,AAF55062.1,AGB93305.1,AAM68895.1,AAM68897.2,AAM68899.3,AAF52658.1,AAF47244.2,AAN09178.1,AAF57738.2,AAN13434.1,AAF54407.1,ACZ94868.1,AHN55987.1,AAF56255.1,AAZ52501.1,AAF59247.2,AAF52895.2,AHN56646.1,ALI30453.1,AAF52830.2,AAN13979.1,AAZ52498.1,AGB93398.1
GO:0043073	13	1.7%	0.27%	1.06E-7	3.02E-6	germ cell nucleus	AAF55799.1,AAF52013.3,AGB95579.1,AAF48462.1,AAF53043.1,ACZ94962.1,AHN57180.1,AAN14363.1,ACL83469.1,AHN54339.1,AAF58006.1,AAF45372.2,AGB95580.1
GO:0051233	15	2.0%	0.42%	4.97E-7	1.34E-5	spindle midzone	AAF55799.1,AAF57162.2,AAF47965.1,AAF45793.1,AAF55399.1,AAF57799.1,ACZ94962.1,AAF47868.1,AAN14363.1,AGB94319.1,AAF57128.1,AAF50296.1,AHN59301.1,AHN56344.1,AHN58024.1
GO:0098798	26	3.4%	1.2%	2.65E-6	6.12E-5	mitochondrial protein-containing complex	AAF51748.1,AGB92783.1,AAN13636.2,AGB95807.1,AAF55148.2,AAF58460.1,AHN59908.1,AAF48956.2,AAF55632.1,AAF55944.2,AAF57683.1,AAF49855.1,AAF52658.1,AAN13434.1,AAF54407.1,AAF59209.1,AAN11068.1,ACZ94868.1,AAF53877.1,AAF52895.2,AAF51805.2,AAF55172.2,AFH07281.1,AAF57137.1,AAF56928.1,AAF46270.1
GO:0098992	6	0.79%	0.06%	3.24E-6	7.14E-5	neuronal dense core vesicle	AAS64631.1,AAN10493.1,AGB92355.1,AAS64633.1,AAS64632.2,AAF51507.1
GO:0140445	4	0.53%	0.02%	6E-6	1.21E-4	chromosome, telomeric repeat region	AAF50757.1,AAF55799.1,ACZ94962.1,AAN14363.1
GO:1905202	4	0.53%	0.02%	6E-6	1.21E-4	methylcrotonoyl-CoA carboxylase complex	AFH06709.1,AFH06708.1,AAN14292.1,AAF57199.2
GO:0061695	28	3.7%	1.5%	1.81E-5	2.93E-4	transferase complex, transferring phosphorus-containing groups	AAF55799.1,AAN11895.1,AFH04383.1,AAF51580.2,AAF46016.1,AAO41239.1,AAN14363.1,AAF47566.1,AAF50032.1,AAF51503.1,AAN13773.1,AAF52000.1,AAN13772.1,AGB94414.1,AAF55557.1,AAF50439.1,AAF55533.1,AAF55556.1,AAF53770.1,AGB93098.1,AGB93097.1,AAF52185.1,AAF55918.1,ACZ94962.1,AAF50735.1,AAF54828.2,ADV37303.1,AAF52451.1
GO:0031261	6	0.79%	0.08%	2.54E-5	3.97E-4	DNA replication preinitiation complex	AAF56561.1,AGB92558.1,AAF46023.1,AAF51021.3,AHN59355.1,AAF47459.2
GO:0030684	10	1.3%	0.27%	3.13E-5	4.6E-4	preribosome	AAF56847.1,AAF51342.1,AAF46437.1,AAF52821.2,AAN11895.1,AFH04383.1,AAF46411.1,AAF56024.1,AGB92418.1,AAG22407.2
GO:0097121	3	0.4%	0.01%	3.71E-5	5.29E-4	cyclin A1-CDK1 complex	AAF55799.1,ACZ94962.1,AAN14363.1
GO:0097122	3	0.4%	0.01%	3.71E-5	5.29E-4	cyclin A2-CDK1 complex	AAF55799.1,ACZ94962.1,AAN14363.1
GO:0097125	3	0.4%	0.01%	3.71E-5	5.29E-4	cyclin B1-CDK1 complex	AAF55799.1,ACZ94962.1,AAN14363.1
GO:0071957	3	0.4%	0.01%	3.71E-5	5.29E-4	old mitotic spindle pole body	AAF55799.1,ACZ94962.1,AAN14363.1
GO:0071958	3	0.4%	0.01%	3.71E-5	5.29E-4	new mitotic spindle pole body	AAF55799.1,ACZ94962.1,AAN14363.1
GO:0061823	3	0.4%	0.01%	3.71E-5	5.29E-4	ring centriole	AAF58528.2,AHN59982.1,AAF50849.3
GO:7770001	4	0.53%	0.03%	3.98E-5	5.29E-4	mitochondrial pyruvate carrier complex	AAN13434.1,AGB95807.1,AAF54407.1,ACZ94868.1
GO:0097361	4	0.53%	0.03%	3.98E-5	5.29E-4	cytosolic [4Fe-4S] assembly targeting complex	EAL24590.1,EAA46161.1,EAL24589.1,EAL24588.1
GO:0042383	11	1.5%	0.37%	9.65E-5	1.06E-3	sarcolemma	AAS64631.1,AGB95616.1,API64982.1,AAN10493.1,AGB95615.1,AAF50946.2,AGB92355.1,AAS64633.1,AAS64632.2,AAF51507.1,AAF50943.2
GO:0005876	19	2.5%	0.94%	1.03E-4	1.11E-3	spindle microtubule	AAF48544.1,AAF55799.1,AHN59254.1,AAF57162.2,AAF47966.2,AAF56252.1,AAF45636.1,AAF57799.1,ACZ94962.1,AAF47868.1,AAN14363.1,AGB94319.1,AAF57128.1,AAF50296.1,API61809.1,AHN56344.1,AHN59562.1,AHN58024.1,AAF50740.1
GO:0035974	5	0.66%	0.07%	1.31E-4	1.39E-3	meiotic spindle pole body	AAF55799.1,ACZ94962.1,AAN14363.1,AAF47776.1,AAS64959.1
GO:0140602	3	0.4%	0.02%	1.45E-4	1.46E-3	nucleolar peripheral inclusion body	AAF55799.1,ACZ94962.1,AAN14363.1
GO:0031391	4	0.53%	0.04%	2.2E-4	2.14E-3	Elg1 RFC-like complex	AAF53076.2,AAF52944.2,AHN54347.1,AAF48768.2
GO:0038039	3	0.4%	0.02%	3.52E-4	3.29E-3	G protein-coupled receptor heterodimeric complex	AHN57455.1,AAF55916.1,AAN13882.1
GO:0043226	424	56%	50%	5.79E-4	5.02E-3	organelle	AAF53386.1,AAZ52499.1,AGB94716.1,AHN56230.1,AAS65212.1,AHN54630.1,AAF45636.1,AGB92841.1,ABV53667.1,AAF50032.1,ACZ94761.1,AAF47771.1,AGB95580.1,AAF56562.1,AAS64631.1,AAF58765.2,AAN11508.1,AAG22140.2,AAF48462.1,AAF52890.1,ABV53862.1,AGB94562.1,AAF58873.1,AGB92853.1,AAF54043.1,AAF50296.1,AAF53046.1,AAF46270.1,AAF56344.1,AGB92972.1,AAF46437.1,AAF58861.1,AFH03711.1,AAF54053.2,AAN09061.2,AGB95615.1,AAF52464.1,AAF55062.1,AHN59562.1,AHN59355.1,AAF53976.2,AAS64882.1,AAF51753.3,AHN59823.1,AAS64632.2,AAF55917.1,AAF55172.2,ACZ94750.1,AAZ52498.1,AAF45372.2,AHN59254.1,AAN13404.1,AAG22361.3,AHN54282.1,AAF54809.2,AFH04383.1,AAF53263.1,AAF55315.1,ADV37218.1,API61815.1,AAF51500.1,AAF46411.1,AAF45570.1,AAF52003.2,AAF54319.2,AAF46633.2,AHN59265.1,AAF51151.1,AFH06322.1,AGB93098.1,AHN54293.1,AAF56025.1,AAF58491.1,AAF55918.1,AAF51805.2,AAF45505.1,AAF54482.2,ABI31309.1,AAF45736.1,AAZ52497.1,AAF55799.1,AGB92558.1,ACZ94873.1,AAN10907.1,AAF56058.1,AAF50327.1,AAF50950.1,AAF53690.1,AAF55632.1,AAS65359.1,AAZ66580.1,AGB93173.1,AAF48768.2,AAF56330.3,AAF56561.1,AAF47244.2,AAF52038.1,AAF55533.1,AFH06346.1,AAF53043.1,AHN54294.1,AAF56024.1,AGB93097.1,AAF56255.1,AAF56924.1,AHN57240.1,ADV37303.1,AAF45374.2,AAF45737.1,AAF58076.3,AHN54339.1,AAF53966.2,EAL24542.1,AFH06373.1,AAN10908.1,AAF46188.1,AAN13444.2,ABI31145.1,AAF55148.2,AAF49740.3,AAF51793.2,AAN09087.1,AGB93996.1,AGB94264.1,AAF48514.1,AGB92408.1,AAF50740.1,AAS64959.1,ACZ94389.1,AAF53770.1,AHN54209.1,AAF56252.1,ALI30535.1,AAF47873.1,AAF45813.1,AAF52894.2,AAN13479.1,AHN56344.1,AAF47413.2,AAF49446.1,AAF47459.2,ABC67186.1,AAF58528.2,AAF52773.4,AAF47776.1,AAF50676.1,AAN14036.1,AAF50037.2,AAN09088.2,AGB93442.1,AAF56288.3,AAF53477.1,AHN57194.1,AAF51503.1,AAF51526.1,AHN59264.1,AAF58263.1,AHN57601.1,AGB96057.1,AAF55705.1,AAF57799.1,AHN56090.1,AAF58199.1,AFH07281.1,AAF57137.1,AAN13478.1,AAF51152.2,AAN10459.1,AAF54184.1,AGB95579.1,AAF58736.4,AAF55311.2,AAN11895.1,AAF57017.2,AHN58149.1,AAF47589.1,AGB93643.1,AAM71104.1,AAF45939.2,AAF46758.1,AAN14363.1,AAF47566.1,AAO41631.1,ADV37372.1,AAF45793.1,AAF47640.1,AAN13709.1,AAF54425.1,AAF50410.2,AAF48418.1,AAF47708.1,AAF53452.1,AAF54327.1,AGB93236.1,AAF57138.2,AHN56628.1,AAF49083.1,AGB92418.1,AGB95766.1,AFH07986.1,AGB96376.1,AAO41239.1,ALI30538.1,AAF49096.1,AAF55258.1,AAX52944.1,AAF47641.1,AAF51967.1,AAF51021.3,AAO41546.1,AAF49303.1,AGB93237.1,AAF50467.2,AAF54328.2,AAM68444.1,AAN09120.1,AAF46376.1,AAN11644.1,AFH08244.1,AGB93000.1,AAF45674.1,AHN57934.1,AAF57128.1,AAO41174.2,EAA45988.2,AAF48292.1,AAF51989.1,AAN13836.2,AAO41547.1,AAF52721.3,AAN13813.1,AAZ52502.1,AAF45719.1,AHN59919.1,AAF47600.1,API61809.1,ABW08605.1,ABW09319.1,AAF46440.1,AAF49081.1,ALI51137.1,AAF45368.1,ACZ94810.1,AHN59982.1,AAF49794.2,AAF50805.1,AHN59272.1,AAF49248.1,AAF51507.1,AGB94414.1,AAN09178.1,AAF48500.1,AGB95816.1,AGB92355.1,AAZ52501.1,AAF48644.1,AAF55626.1,AAF56983.2,AAN10493.1,AAF52830.2,AHN54167.1,AHN58024.1,AAF56907.1,AAF57205.3,AGB93399.1,AAF53139.1,AAF45578.3,AAF55399.1,AHN59423.1,AHN54210.1,AGB96017.1,AAF53971.1,AAF53478.1,AGB94319.1,AHN56489.1,AAF52820.1,AAN13258.2,AGB94647.1,AAF49663.3,AAF51671.2,AAF46178.1,AAN09364.1,AAF54444.4,AAF52952.2,AAN14089.2,AAZ52500.1,AAF52185.1,AAF51342.1,AAF56239.2,AAF50946.2,AAF56337.3,AAF57184.2,AHN56444.1,AAF45677.2,AAM70934.1,AAF58080.1,AAF49223.1,AGB93268.1,AHN57933.1,AAF53479.1,AAF47271.1,AAF52821.2,AAF57683.1,AAF54128.2,AAF52658.1,AAF54237.3,AAF57173.1,AAF55450.1,AAF59209.1,AGB92670.1,AAN14088.2,ACZ94847.1,AAN11424.1,AAF46023.1,AHN57180.1,AAN13245.2,AAF56546.1,AAF50849.3,AAF51158.2,AAF57441.1,AAF58760.2,AAF50387.1,AAF50409.1,AAF57162.2,AAF47714.3,AAN13636.2,AAF51951.2,AAN11011.2,ADV37544.1,AAF56915.1,AGB95946.1,AAF56347.1,AGB93513.1,AHN58150.1,AHN56490.1,AAF54276.2,AAN14087.2,AAF51367.2,AAM70829.2,AAF45921.1,AAS64733.2,AAF53163.2,AAN13405.1,AAM68813.1,AAN10572.1,AAF58589.1,AAF53076.2,AAF52944.2,AAF46181.1,AAF49701.1,AAG22407.2,AAF58796.2,AAF58006.1,AAF52002.1,AHN54080.1,AAF54719.2,AAF53919.1,AAF52013.3,AGB92521.1,AAF52978.1,AAF48444.1,AGB94542.1,ACZ94962.1,AAF51322.1,AHN56646.1,ALI30453.1,AAF54530.3,AAF54387.1,AHN59301.1,AGB96526.1,AAF58191.1,ALI30586.1,AGB92783.1,AAF45634.2,AGB95680.1,AGB92892.1,AAF46016.1,AAF48422.2,AAF54564.1,AGB95616.1,AAF54146.1,AAF45720.2,AAF47253.2,AAF55470.2,AAF54278.2,AAS64633.1,AAF57130.2,AAF47189.1,AAN14107.1,AAF57639.2,AAF54828.2,AAF52451.1,AHN56229.1,ALI30641.1,AAF47966.2,AGB92345.1,AAF45635.1,AGB95681.1,AAF47822.1,AAF47868.1,AGB94105.1,AAF47350.2,AHN54347.1,AAF52011.1,AAF48544.1,AAF48983.1,AAF54233.1,AAF51982.1,AAN13812.1,AAM68308.1,AAF52386.1,AAF57944.1,ALI30530.1,AGB94533.1,AAF48665.2,AAN13517.1,AAF57298.1,AAF55624.1,ACL83469.1,AAF46212.1,AAF56928.1,AAO41220.1,AAF56565.1,AAF50943.2
GO:0005663	3	0.4%	0.03%	6.87E-4	5.85E-3	DNA replication factor C complex	AAF53076.2,AAF52944.2,AHN54347.1
GO:0070852	3	0.4%	0.03%	6.87E-4	5.85E-3	cell body fiber	AAO41174.2,AHN54282.1,AAF52721.3
GO:0035101	4	0.53%	0.06%	6.92E-4	5.85E-3	FACT complex	AHN56490.1,AAF46758.1,AHN56489.1,AAM70934.1
